config_file;seed;runs;p;me.active;me.datafile;me.k;me.persistent;me.epochs.0;me.lr.0;me.layersnodes.0;me.batchsize;me.lambdas.0;me.lambdas.1;ge.active;ge.datafile;ge.k;ge.persistent;ge.epochs.0;ge.epochs.1;ge.lr.0;ge.lr.1;ge.layersnodes.0;ge.layersnodes.1;ge.batchsize;ge.lambdas.0;ge.lambdas.1;sm.active;sm.datafile;sm.k;sm.persistent;sm.epochs.0;sm.epochs.1;sm.lr.0;sm.lr.1;sm.layersnodes.0;sm.layersnodes.1;sm.batchsize;sm.lambdas.0;sm.lambdas.1;top.active;top.k;top.persistent;top.epochs.0;top.epochs.1;top.lr.0;top.lr.1;top.layersnodes.0;top.layersnodes.1;top.batchsize;uuid
aml_config_2_1.json;1234;4;1.0;True;AML/AML_miRNA_Seq_table2.csv.gz;10;False;2;0.005;40;1;0.0;0.1;True;AML/AML_gene_expression_table2.csv.gz;1;False;2;800;0.0005;0.1;400;40;1;0.0;0.1;True;AML/AML_somatic_mutations_table2.csv.gz;1;False;2;800;0.01;0.1;200;20;1;0.0;0.1;True;1;False;800;800;0.1;0.1;24;3;1;
aml_config_2_5.json;1234;4;1.0;True;AML/AML_miRNA_Seq_table2.csv.gz;10;False;2;0.005;40;5;0.0;0.1;True;AML/AML_gene_expression_table2.csv.gz;1;False;2;800;0.0005;0.1;400;40;5;0.0;0.1;True;AML/AML_somatic_mutations_table2.csv.gz;1;False;2;800;0.01;0.1;200;20;5;0.0;0.1;True;1;False;800;800;0.1;0.1;24;3;5;
aml_config_20_1.json;1234;4;1.0;True;AML/AML_miRNA_Seq_table2.csv.gz;10;False;20;0.005;40;1;0.0;0.1;True;AML/AML_gene_expression_table2.csv.gz;1;False;20;800;0.0005;0.1;400;40;1;0.0;1.0;True;AML/AML_somatic_mutations_table2.csv.gz;1;False;20;800;0.01;0.1;200;20;1;0.0;0.1;True;1;False;800;800;0.1;0.1;24;3;1;
aml_config_20_5.json;1234;4;1.0;True;AML/AML_miRNA_Seq_table2.csv.gz;10;False;20;0.005;40;5;0.0;0.1;True;AML/AML_gene_expression_table2.csv.gz;1;False;20;800;0.0005;0.1;400;40;5;0.0;1.0;True;AML/AML_somatic_mutations_table2.csv.gz;1;False;20;800;0.01;0.1;200;20;5;0.0;0.1;True;1;False;800;800;0.1;0.1;24;3;5;
aml_config_2_1p_a.json;1234;4;1.0;True;AML/AML_miRNA_Seq_table2.csv.gz;10;True;2;0.005;40;1;0.0;0.1;True;AML/AML_gene_expression_table2.csv.gz;1;True;2;800;0.005;0.02;400;40;1;0.0;0.01;True;AML/AML_somatic_mutations_table2.csv.gz;1;True;2;800;0.01;0.04;200;20;1;0.0;0.01;True;1;True;800;800;0.01;0.01;24;3;1;
aml_config_2_5p_a.json;1234;4;1.0;True;AML/AML_miRNA_Seq_table2.csv.gz;10;True;2;0.005;40;5;0.0;0.1;True;AML/AML_gene_expression_table2.csv.gz;1;True;2;800;0.005;0.02;400;40;5;0.0;0.01;True;AML/AML_somatic_mutations_table2.csv.gz;1;True;2;800;0.01;0.04;200;20;5;0.0;0.01;True;1;True;800;800;0.01;0.01;24;3;5;
aml_config_20_1p_a.json;1234;4;1.0;True;AML/AML_miRNA_Seq_table2.csv.gz;10;True;20;0.005;40;1;0.0;0.1;True;AML/AML_gene_expression_table2.csv.gz;1;True;20;800;0.0005;0.02;400;40;1;0.0;0.01;True;AML/AML_somatic_mutations_table2.csv.gz;1;True;20;800;0.01;0.04;200;20;1;0.0;0.01;True;1;True;800;800;0.01;0.01;24;3;1;
aml_config_20_5p_a.json;1234;4;1.0;True;AML/AML_miRNA_Seq_table2.csv.gz;10;True;20;0.005;40;5;0.0;0.1;True;AML/AML_gene_expression_table2.csv.gz;1;True;20;800;0.0005;0.02;400;40;5;0.0;0.01;True;AML/AML_somatic_mutations_table2.csv.gz;1;True;20;800;0.01;0.04;200;20;5;0.0;0.01;True;1;True;800;800;0.01;0.01;24;3;5;
aml_config_2_1_05.json;1234;4;0.5;True;AML/AML_miRNA_Seq_table2.csv.gz;10;False;2;0.005;40;1;0.0;0.1;True;AML/AML_gene_expression_table2.csv.gz;1;False;2;800;0.0005;0.1;400;40;1;0.0;0.1;True;AML/AML_somatic_mutations_table2.csv.gz;1;False;2;800;0.01;0.1;200;20;1;0.0;0.1;True;1;False;800;800;0.1;0.1;24;3;1;
aml_config_2_5_05.json;1234;4;0.5;True;AML/AML_miRNA_Seq_table2.csv.gz;10;False;2;0.005;40;5;0.0;0.1;True;AML/AML_gene_expression_table2.csv.gz;1;False;2;800;0.0005;0.1;400;40;5;0.0;0.1;True;AML/AML_somatic_mutations_table2.csv.gz;1;False;2;800;0.01;0.1;200;20;5;0.0;0.1;True;1;False;800;800;0.1;0.1;24;3;5;
